user,song,play_count,rate
5a828f20d611efe2d818ca48edf3b792f4e69e66,SONQBUB12A6D4F8ED0,1,1
5a828f20d611efe2d818ca48edf3b792f4e69e66,SONQCXC12A6D4F6A37,1,1
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOOJJCT12A6310E1C0,3,3
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOPKPFW12A6D4F84BC,9,9
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOPVQLJ12A67AE2281,4,4
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOPXKYD12A6D4FA876,2,2
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOSCIZP12AB0181D2F,3,3
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOSJRJP12A6D4F826F,1,1
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOSVQNK12AC468D6BE,13,13
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOSYOHI12A8C144584,1,1
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOUDLVN12AAFF43658,2,2
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOUFTBI12AB0183F65,7,7
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOULTKQ12AB018A183,11,11
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOUNJIO12AB0181339,3,3
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOUNZHU12A8AE47481,2,2
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOUSZSW12AB01800C2,6,6
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOVHKJL12AB017E2B2,4,4
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOWNIWL12AB017B720,37,15
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOYGHOJ12A6701FFBA,1,1
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOYVFTH12A67020868,522,15
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOZBZFF12A6310F12D,2,2
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOZPLKR12A6D4F8421,86,15
5a828f20d611efe2d818ca48edf3b792f4e69e66,SOZYSDT12A8C13BFD7,4,4
a58e782566654163015fbeb4f079be0df18d680f,SOAUWYT12A81C206F1,5,5
a58e782566654163015fbeb4f079be0df18d680f,SOBONKR12A58A7A7E0,5,5
a58e782566654163015fbeb4f079be0df18d680f,SOCVTLJ12A6310F0FD,13,13
a58e782566654163015fbeb4f079be0df18d680f,SOEGIYH12A6D4FC0E3,15,15
a58e782566654163015fbeb4f079be0df18d680f,SOFEGST12A58A7D682,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOFLJQZ12A6D4FADA6,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOGTDJQ12A8C13324F,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOIMQAK12A67ADE98C,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOJEVHC12A8C13C3E5,2,2
a58e782566654163015fbeb4f079be0df18d680f,SOJMUUU12A8C137A4F,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOLOZRE12A8C133256,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOLWRZI12A6D4FC4F0,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOMFUWK12A6D4F8AFA,4,4
a58e782566654163015fbeb4f079be0df18d680f,SOMJFPG12A58A7DD95,2,2
a58e782566654163015fbeb4f079be0df18d680f,SOMNGMO12A6702187E,3,3
a58e782566654163015fbeb4f079be0df18d680f,SOMRYYN12A6310F0F3,1,1
a58e782566654163015fbeb4f079be0df18d680f,SONAZWN12A8151C957,14,14
a58e782566654163015fbeb4f079be0df18d680f,SONHWUN12AC468C014,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOOKGRB12A8C13CD66,8,8
a58e782566654163015fbeb4f079be0df18d680f,SOOXRJG12A8C13773E,39,15
a58e782566654163015fbeb4f079be0df18d680f,SOOZFCC12A58A7D783,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOPEOGA12AB017B694,3,3
a58e782566654163015fbeb4f079be0df18d680f,SOPSOHT12A67AE0235,1,1
a58e782566654163015fbeb4f079be0df18d680f,SOPXKYD12A6D4FA876,8,8
a58e782566654163015fbeb4f079be0df18d680f,SOQQQMM12A6310DFCC,3,3
a58e782566654163015fbeb4f079be0df18d680f,SOQTFOR12A6D4F612A,3,3
a58e782566654163015fbeb4f079be0df18d680f,SOQWSHS12A6701C576,4,4
